CIK,Filing Type,Date,File
1090507,8-K,2008-06-19,8-K/0001072613-08-001384.txt
1090507,8-K,2008-06-20,8-K/0001072613-08-001391.txt
1090507,8-K,2008-06-24,8-K/0001072613-08-001403.txt
1090507,10-Q,2008-05-13,10-Q/0000950136-08-002528.txt
